"program_id";"college_id";"program_code";"program_name"
1;1;"BEEd";"Bachelor of Elementary Education"
2;1;"BTLED";"Bachelor of Technology and Livelihood Education"
3;2;"BSCE";"Bachelor of Science in Civil Engineering"
4;2;"BSME";"Bachelor of Science in Mechanical Engineering"
5;2;"BSEE";"Bachelor of Science in Electrical Engineering"
6;3;"BIT CT";"Bachelor of Industrial Technology major in Computer Technology"
7;3;"BIT AUTO";"Bachelor of Industrial Technology major in Automotive Technology"
8;4;"BSHM";"Bachelor of Science in Hospitality Management"
